"","region","address","village","id","network_id","network_village","network_address","takeup_survey","delay","intensive","understanding","network_missname"
"97",1,"xinguang4","xinguang",11124249,99,"xinguang","xinguang4",NA,NA,NA,NA,0
"98",1,"xinguang22","xinguang",11124165,99,"xinguang","xinguang2",NA,NA,NA,NA,0
"99",3,"yazhouxiabian1","yazhou",3335133,99,"yazhou","yazhouxiabian1",NA,NA,NA,NA,0
"100",2,"fuzhouxintanshang","fuzhou",2229153,99,"fuzhou","fuzhou",NA,NA,NA,NA,0
"101",1,"xinguang12","xinguang",11124042,99,"xinguang","xinguang1",NA,NA,NA,NA,0
"102",1,"xinlian2","xinlian",11125049,99,"xinlian","xinlian2",NA,NA,NA,NA,0
"103",1,"dukou52","dukou",1116476,99,"dukou","dukou5",NA,NA,NA,NA,0
"104",1,"beixing712","beixing",11116139,99,"beixing","beixing712",NA,NA,NA,NA,0
"105",2,"gangxiahoufang","gangxia",2223065,99,"gangxia","gangxiahoufang",NA,NA,NA,NA,0
"106",1,"xinlian56","xinlian",11125150,99,"xinlian","xinlian56",NA,NA,NA,NA,0
"107",1,"dukou2","dukou",1116070,99,"dukou","dukou2",NA,NA,NA,NA,0
"108",1,"xinguang22","xinguang",11124137,99,"xinguang","xinguang2",NA,NA,NA,NA,0
"109",1,"xilian8","xilian",1119125,99,"xilian","xilian9",NA,NA,NA,NA,0
"110",3,"longqingmianqian","longqing",33311017,99,"longqing","longqingmianqian",NA,NA,NA,NA,0
"111",2,"fuzhouwanjiadi","fuzhou",2229039,99,"fuzhou","fuzhouwanjiadi",NA,NA,NA,NA,0
"112",1,"fusheng67","fusheng",1111386,99,"fusheng","fusheng67",NA,NA,NA,NA,0
"113",2,"fuzhouwanjiadi","fuzhou",2229039,99,"fuzhou","fuzhouwanjiadi",NA,NA,NA,NA,0
"114",1,"hefeng14","hefeng",11117734,99,"hefeng","hefeng14",NA,NA,NA,NA,0
"115",2,"lianqianxinji","lianqian",2226361,99,"lianqian","lianqianxinji",NA,NA,NA,NA,0
"116",1,"xilian8","xilian",1119150,99,"xilian","xilian9",NA,NA,NA,NA,0
"117",1,"dukou52","dukou",1116476,99,"dukou","dukou5",NA,NA,NA,NA,0
"118",2,"lianxingtangjia","lianxing",2225199,99,"lianxing","lianxingtangjia",NA,NA,NA,NA,0
"119",1,"fusheng67","fusheng",1111380,99,"fusheng","fusheng67",NA,NA,NA,NA,0
"120",1,"xinguang22","xinguang",11124137,99,"xinguang","xinguang2",NA,NA,NA,NA,0
"121",1,"dukou32","dukou",1116253,99,"dukou","dukou3",NA,NA,NA,NA,0
"122",2,"yanjiangtangshang","yanjiang",2222118,99,"yanjiang","yanjiangtangshang",NA,NA,NA,NA,0
"123",1,"fusheng5","fusheng",1111363,99,"fusheng","fusheng5",NA,NA,NA,NA,0
"124",1,"minzhu4","minzhu",11112178,99,"minzhu","minzhu4",NA,NA,NA,NA,0
"125",1,"xinguang22","xinguang",11124165,99,"xinguang","xinguang2",NA,NA,NA,NA,0
"126",1,"xinlian8","xinlian",11125206,99,"xinlian","xinlian8",NA,NA,NA,NA,0
"127",1,"xinlian1314","xinlian",11125310,99,"xinlian","xinlian1314",NA,NA,NA,NA,0
"128",1,"xilian8","xilian",1119165,99,"xilian","xilian8",NA,NA,NA,NA,0
"129",1,"caijia1","caijia",1119996025,99,"caijia","caijia1",NA,NA,NA,NA,0
"130",1,"xihe67","xihe",11110279,99,"xihe","xihe67",NA,NA,NA,NA,0
"131",1,"shigang21","shigang",1113135,99,"shigang","shigang21",NA,NA,NA,NA,0
"132",1,"gangtou2","gangtou",11121065,99,"gangtou","gangtou2",NA,NA,NA,NA,0
"133",2,"dayuxiajia","dayu",22211351,99,"dayu","dayuxiajia",NA,NA,NA,NA,0
"134",3,"beidangxinzhi","beidang",3331056,99,"beidang","beidangxinzhi",NA,NA,NA,NA,0
"135",1,"shigang12","shigang",1113070,99,"shigang","shigang12",NA,NA,NA,NA,0
"136",1,"shigang12","shigang",1113106,99,"shigang","shigang12",NA,NA,NA,NA,0
"137",1,"shigang21","shigang",1113135,99,"shigang","shigang21",NA,NA,NA,NA,0
"139",1,"zhangxi6","zhangxi",1114380,99,"zhangxi","zhangxi6",NA,NA,NA,NA,0
"141",1,"jingang9","jingang",1112468,99,"jingang","jingang9",NA,NA,NA,NA,0
"142",1,"xinguang12","xinguang",11124042,99,"xinguang","xinguang1",NA,NA,NA,NA,0
"143",1,"fusheng67","fusheng",1111390,99,"fusheng","fusheng5",NA,NA,NA,NA,0
"144",1,"gangtou3","gangtou",11121092,99,"gangtou","gangtou3",NA,NA,NA,NA,0
"145",2,"fuzhouzhoujia","fuzhou",2229248,99,"fuzhou","fuzhouzhoujia",NA,NA,NA,NA,0
"146",2,"lianxingchenjia","lianxing",2225118,99,"lianxing","lianxingchenjia",NA,NA,NA,NA,0
"147",1,"zhangxi2","zhangxi",1114093,99,"zhangxi","zhangxi2",NA,NA,NA,NA,0
"148",2,"fuzhouwanjiadi","fuzhou",2229061,99,"fuzhou","fuzhouwanjiadi",NA,NA,NA,NA,0
"149",1,"xinguang22","xinguang",11124137,99,"xinguang","xinguang2",NA,NA,NA,NA,0
"150",1,"xilian8","xilian",1119150,99,"xilian","xilian9",NA,NA,NA,NA,0
"151",1,"xilian8","xilian",1119185,99,"xilian","xilian12",NA,NA,NA,NA,0
"152",1,"xinguang4","xinguang",11124249,99,"xinguang","xinguang4",NA,NA,NA,NA,0
"153",1,"xiecheng4","xiecheng",1115236,99,"xiecheng","xiecheng4",NA,NA,NA,NA,0
"154",3,"chaxixiachaxi2","chaxi",3337109,99,"chaxi","chaxixiachaxi",NA,NA,NA,NA,0
"155",2,"gangxiazhonggang","gangxia",2223289,99,"gangxia","gangxiazhonggang",NA,NA,NA,NA,0
"156",2,"fuzhouxintanshang","fuzhou",2229156,99,"fuzhou","fuzhou",NA,NA,NA,NA,0
"157",1,"minzhu1","minzhu",11112016,99,"minzhu","minzhu",NA,NA,NA,NA,0
"158",1,"xinlian1112","xinlian",11125303,99,"xinlian","xinlian1112",NA,0,1,1,1
"159",2,"fuzhouwanjiadi","fuzhou",2229088,99,"fuzhou","fuzhouwanjiadi",NA,NA,NA,NA,0
"160",1,"shigang12","shigang",1113102,99,"shigang","shigang12",NA,NA,NA,NA,0
"161",2,"dayuminjia","dayu",22211441,99,"dayu","dayuminjia",NA,NA,NA,NA,0
"162",1,"beixing712","beixing",11116088,99,"beixing","beixing712",NA,NA,NA,NA,0
"163",1,"beixing712","beixing",11116132,99,"beixing","beixing712",NA,NA,NA,NA,0
"164",2,"fuzhouxinkanshang","fuzhou",2229121,99,"fuzhou","fuzhouxinkanshang",NA,NA,NA,NA,0
"165",1,"xinlian910","xinlian",11125253,99,"xinlian","xinlian910",NA,NA,NA,NA,0
"166",1,"fusheng67","fusheng",1111399,99,"fusheng","fusheng67",NA,NA,NA,NA,0
"167",1,"zhangxi82","zhangxi",1114548,99,"zhangxi","zhangxi8",NA,NA,NA,NA,0
"168",1,"jingang9","jingang",1112491,99,"jingang","jingang9",NA,NA,NA,NA,0
"169",1,"xinlian1314","xinlian",11125326,99,"xinlian","xinlian1314",NA,NA,NA,NA,0
"170",3,"helinjiufang","helin",3339061,99,"helin","helinlaozhi",NA,NA,NA,NA,0
"171",3,"xingzengxingzeng2","xingzeng",3334068,99,"xingzeng","xingzengxingzeng2",NA,NA,NA,NA,0
"172",3,"xihuxinze2","xihu",33310305,99,"xihu","xihuxinze2",NA,NA,NA,NA,0
"173",2,"yanjiangdonghezhong","yanjiang",2222068,99,"yanjiang","yanjiangdonghezhong",NA,NA,NA,NA,0
"174",1,"beixing712","beixing",11116095,99,"beixing","beixing712",NA,NA,NA,NA,0
"175",2,"dazhoulaoji1","dazhou",22210060,99,"dazhou","dazhoulaoji1",NA,NA,NA,NA,0
"176",3,"yongfengcaomen2","yongfeng",33312077,99,"yongfeng","yongfengcaomen",NA,NA,NA,NA,0
"177",1,"dukou2","dukou",1116059,99,"dukou","dukou2",NA,NA,NA,NA,0
"178",1,"dukou52","dukou",1116476,99,"dukou","dukou5",NA,NA,NA,NA,0
"179",2,"gangxiazhonggang","gangxia",2223259,99,"gangxia","gangxiazhonggang",NA,NA,NA,NA,0
"180",1,"dukou2","dukou",1116068,99,"dukou","dukou2",NA,NA,NA,NA,0
"181",1,"zhangxi3","zhangxi",1114165,99,"zhangxi","zhangxi3",NA,NA,NA,NA,0
"182",1,"caijia1","caijia",1119996025,99,"caijia","caijia1",NA,NA,NA,NA,0
"183",3,"yazhoushangbian1","yazhou",3335057,99,"yazhou","yazhoushangbian1",NA,NA,NA,NA,0
"184",1,"jingang9","jingang",1112468,99,"jingang","jingang9",NA,NA,NA,NA,0
"185",3,"yazhoushangbian1","yazhou",3335050,99,"yazhou","yazhoushangbian1",NA,NA,NA,NA,0
"187",1,"xilian8","xilian",1119125,99,"xilian","xilian7",NA,NA,NA,NA,0
"188",1,"zhangxi2","zhangxi",1114086,99,"zhangxi","zhangxi2",NA,NA,NA,NA,0
"189",1,"xinlian910","xinlian",11125268,99,"xinlian","xinlian910",NA,0,1,1,1
"190",1,"minzhu1","minzhu",11112045,99,"minzhu","minzhu1",NA,NA,NA,NA,0
"191",1,"minzhu4","minzhu",11112173,99,"minzhu","minzhu",NA,NA,NA,NA,0
"192",1,"xiecheng5","xiecheng",1115270,99,"xiecheng","xiecheng5",NA,NA,NA,NA,0
"193",1,"fusheng67","fusheng",1111385,1111029,"fusheng","fusheng1",NA,NA,NA,NA,0
"194",1,"fusheng21","fusheng",1111035,1111029,"fusheng","fusheng2",NA,NA,NA,NA,0
"195",1,"fusheng5","fusheng",1111363,1111029,"fusheng","fusheng5",NA,NA,NA,NA,0
"196",1,"fusheng21","fusheng",1111042,1111030,"fusheng","fusheng2",1,1,0,0.800000011920929,0
"197",1,"fusheng21","fusheng",1111045,1111030,"fusheng","",1,1,0,0.800000011920929,1
"198",1,"fusheng21","fusheng",1111038,1111030,"fusheng","fusheng2",1,1,0,0.800000011920929,0
"199",1,"fusheng21","fusheng",1111034,1111030,"fusheng","fusheng2",1,1,0,0.800000011920929,0
"200",1,"fusheng21","fusheng",1111055,1111030,"fusheng","",1,1,0,0.800000011920929,1
"201",1,"fusheng21","fusheng",1111050,1111031,"fusheng","fusheng2",0,1,0,0,0
"202",1,"fusheng21","fusheng",1111034,1111031,"fusheng","fusheng2",0,1,0,0,0
"203",1,"fusheng21","fusheng",1111041,1111032,"fusheng","fusheng2",1,1,1,0.800000011920929,0
"204",1,"fusheng21","fusheng",1111038,1111032,"fusheng","fusheng21",1,1,1,0.800000011920929,1
"205",1,"fusheng21","fusheng",1111031,1111032,"fusheng","fusheng21",1,1,1,0.800000011920929,1
"206",1,"fusheng21","fusheng",1111041,1111033,"fusheng","fusheng2",NA,NA,NA,NA,0
"207",1,"fusheng21","fusheng",1111053,1111035,"fusheng","fusheng2",1,0,1,1,0
"208",1,"fusheng21","fusheng",1111040,1111036,"fusheng","fusheng2",0,0,0,0.200000002980232,0
"209",1,"fusheng21","fusheng",1111041,1111036,"fusheng","fusheng2",0,0,0,0.200000002980232,0
"210",1,"fusheng21","fusheng",1111032,1111037,"fusheng","",NA,0,1,0,1
"211",1,"fusheng21","fusheng",1111040,1111038,"fusheng","fusheng2",1,1,1,0.800000011920929,0
"212",1,"fusheng21","fusheng",1111032,1111038,"fusheng","",1,1,1,0.800000011920929,0
"213",1,"fusheng21","fusheng",1111041,1111038,"fusheng","fusheng2",1,1,1,0.800000011920929,0
"214",1,"fusheng21","fusheng",1111050,1111038,"fusheng","fusheng2",1,1,1,0.800000011920929,0
"215",1,"fusheng21","fusheng",1111041,1111039,"fusheng","fusheng2",NA,NA,NA,NA,0
"216",1,"fusheng21","fusheng",1111031,1111040,"fusheng","fusheng2",1,1,1,0.600000023841858,0
"217",1,"fusheng21","fusheng",1111036,1111041,"fusheng","fusheng2",0,1,1,0,0
"218",1,"fusheng21","fusheng",1111031,1111041,"fusheng","fusheng21",0,1,1,0,0
"219",1,"fusheng21","fusheng",1111050,1111041,"fusheng","fusheng2",0,1,1,0,0
"220",1,"fusheng21","fusheng",1111055,1111041,"fusheng","",0,1,1,0,0
"221",1,"fusheng21","fusheng",1111045,1111041,"fusheng","",0,1,1,0,0
"222",1,"fusheng21","fusheng",1111034,1111041,"fusheng","fusheng2",0,1,1,0,0
"223",1,"fusheng21","fusheng",1111038,1111041,"fusheng","fusheng21",0,1,1,0,0
"224",1,"fusheng32","fusheng",1111265,1111042,"fusheng","fusheng21",1,0,0,NA,0
"225",1,"fusheng21","fusheng",1111040,1111042,"fusheng","fusheng2",1,0,0,NA,0
"226",1,"shigang21","shigang",1113150,1111042,"fusheng","fusheng21",1,0,0,NA,0
"227",1,"shigang12","shigang",1113093,1111042,"fusheng","fusheng21",1,0,0,NA,0
"228",1,"huangshan10","huangshan",1118435,1111042,"fusheng","fusheng21",1,0,0,NA,0
"229",1,"fusheng67","fusheng",1111418,1111042,"fusheng","fusheng2",1,0,0,NA,0
"230",1,"zhangxi6","zhangxi",1114420,1111042,"fusheng","fusheng21",1,0,0,NA,0
"231",1,"dukou31","dukou",1116143,1111042,"fusheng","fusheng21",1,0,0,NA,0
"232",1,"fusheng23","fusheng",1111128,1111042,"fusheng","fusheng2",1,0,0,NA,0
"233",1,"zhangxi3","zhangxi",1114139,1111042,"fusheng","fusheng21",1,0,0,NA,0
"234",1,"fusheng32","fusheng",1111265,1111042,"fusheng","fusheng21",1,0,0,NA,0
"235",1,"fusheng21","fusheng",1111045,1111043,"fusheng","",NA,0,1,1,1
"236",1,"fusheng21","fusheng",1111055,1111043,"fusheng","",NA,0,1,1,1
"237",1,"fusheng21","fusheng",1111032,1111043,"fusheng","",NA,0,1,1,1
"238",1,"fusheng21","fusheng",1111034,1111044,"fusheng","fusheng2",NA,NA,NA,NA,0
"239",1,"fusheng21","fusheng",1111031,1111045,"fusheng","fusheng2",1,1,0,1,0
"240",1,"fusheng21","fusheng",1111040,1111045,"fusheng","fusheng2",1,1,0,1,0
"241",1,"fusheng21","fusheng",1111050,1111045,"fusheng","fusheng2",1,1,0,1,0
"242",1,"fusheng21","fusheng",1111032,1111045,"fusheng","",1,1,0,1,1
"243",1,"fusheng21","fusheng",1111055,1111045,"fusheng","",1,1,0,1,1
"244",1,"fusheng21","fusheng",1111049,1111046,"fusheng","fusheng2",0,0,1,0.800000011920929,0
"245",1,"fusheng21","fusheng",1111035,1111046,"fusheng","fusheng2",0,0,1,0.800000011920929,0
"246",1,"fusheng5","fusheng",1111375,1111046,"fusheng","fusheng2",0,0,1,0.800000011920929,0
"247",1,"fusheng21","fusheng",1111053,1111046,"fusheng","fusheng2",0,0,1,0.800000011920929,0
"248",1,"fusheng21","fusheng",1111045,1111047,"fusheng","",NA,0,1,0.600000023841858,1
"249",1,"fusheng21","fusheng",1111055,1111047,"fusheng","",NA,0,1,0.600000023841858,1
"250",1,"fusheng21","fusheng",1111053,1111049,"fusheng","fusheng2",1,0,1,1,0
"251",1,"fusheng21","fusheng",1111042,1111049,"fusheng","fusheng2",1,0,1,1,0
"252",1,"fusheng67","fusheng",1111394,1111049,"fusheng","fusheng67",1,0,1,1,0
"253",1,"fusheng21","fusheng",1111040,1111050,"fusheng","fusheng2",1,1,1,0.400000005960464,0
"254",1,"fusheng21","fusheng",1111049,1111050,"fusheng","fusheng2",1,1,1,0.400000005960464,0
"255",1,"fusheng21","fusheng",1111032,1111050,"fusheng","",1,1,1,0.400000005960464,0
"256",1,"fusheng21","fusheng",1111038,1111050,"fusheng","fusheng2",1,1,1,0.400000005960464,0
"257",1,"fusheng21","fusheng",1111049,1111051,"fusheng","fusheng2",NA,NA,NA,NA,0
"258",1,"fusheng21","fusheng",1111045,1111055,"fusheng","",1,1,1,0.800000011920929,1
"259",1,"fusheng21","fusheng",1111038,1111055,"fusheng","fusheng21",1,1,1,0.800000011920929,1
"260",1,"fusheng21","fusheng",1111031,1111055,"fusheng","fusheng21",1,1,1,0.800000011920929,1
"261",1,"fusheng21","fusheng",1111050,1111055,"fusheng","fusheng2",1,1,1,0.800000011920929,0
"262",1,"fusheng23","fusheng",1111133,1111056,"fusheng","fusheng2",NA,0,1,1,1
"263",1,"fusheng23","fusheng",1111148,1111074,"fusheng","fusheng2",NA,NA,NA,NA,0
"264",1,"fusheng21","fusheng",1111053,1111075,"fusheng","fusheng2",NA,NA,NA,NA,0
"265",1,"fusheng21","fusheng",1111035,1111082,"fusheng","fusheng2",NA,NA,NA,NA,0
"266",1,"fusheng23","fusheng",1111128,1111085,"fusheng","fusheng2",NA,NA,NA,NA,0
"267",1,"fusheng23","fusheng",1111124,1111087,"fusheng","fusheng2",NA,NA,NA,NA,0
"268",1,"fusheng23","fusheng",1111148,1111088,"fusheng","fusheng2",NA,NA,NA,NA,0
"269",1,"fusheng23","fusheng",1111128,1111097,"fusheng","fusheng2",NA,NA,NA,NA,0
"270",1,"fusheng23","fusheng",1111128,1111098,"fusheng","fusheng2",NA,NA,NA,NA,0
"271",1,"fusheng23","fusheng",1111124,1111101,"fusheng","fusheng2",NA,NA,NA,NA,0
"272",1,"fusheng21","fusheng",1111042,1111101,"fusheng","fusheng2",NA,NA,NA,NA,0
"273",1,"fusheng23","fusheng",1111148,1111101,"fusheng","fusheng2",NA,NA,NA,NA,0
"274",1,"fusheng23","fusheng",1111148,1111112,"fusheng","fusheng2",NA,NA,NA,NA,0
"275",1,"fusheng21","fusheng",1111035,1111119,"fusheng","fusheng2",NA,NA,NA,NA,0
"276",1,"fusheng21","fusheng",1111042,1111121,"fusheng","fusheng2",NA,NA,NA,NA,0
"277",1,"fusheng21","fusheng",1111049,1111121,"fusheng","fusheng2",NA,NA,NA,NA,0
"278",1,"fusheng23","fusheng",1111133,1111122,"fusheng","fusheng2",NA,0,1,1,1
"279",1,"fusheng21","fusheng",1111054,1111122,"fusheng","fusheng2",NA,0,1,1,1
"280",1,"fusheng23","fusheng",1111145,1111122,"fusheng","fusheng2",NA,0,1,1,1
"281",1,"fusheng23","fusheng",1111145,1111122,"fusheng","fusheng2",NA,0,1,1,1
